name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
43068,2022-09-08,80.4,57.6,68.3,81.2,57.6,68.3,59.6,75.9,0,0,0,,0,0,14.3,7.6,28.5,1014.8,33.3,9.8,188.7,16.2,9,10,2022-09-08T07:05:35,2022-09-08T19:51:24,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-09,83.8,60.5,72.1,84.6,60.5,72.5,62.5,73.7,0,0,0,,0,0,12.8,9.9,100.5,1014.9,17.8,9.7,203.9,17.6,8,10,2022-09-09T07:06:32,2022-09-09T19:49:47,0.47,Clear,Clear conditions throughout the day.,clear-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-09-10,79,65.6,71.8,79,65.6,71.8,63.9,76.8,0,0,0,,0,0,19.5,11.9,135.5,1018.7,64.1,9.9,163.2,14.1,8,10,2022-09-10T07:07:28,2022-09-10T19:48:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-11,75.8,65.9,69.9,75.8,65.9,69.9,67.1,91.1,0.482,100,41.67,rain,0,0,19.5,8.7,157.1,1015.2,96.9,8.7,80.5,7,3,30,2022-09-11T07:08:24,2022-09-11T19:46:30,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-12,71.8,63,67,71.8,63,67,57.7,74.4,0.029,100,4.17,rain,0,0,21.9,12.1,252.6,1011.2,85.6,9.9,164.2,14.2,9,10,2022-09-12T07:09:21,2022-09-12T19:44:52,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-13,69.8,58.2,62.6,69.8,58.2,62.6,53.4,72.5,0,0,0,rain,0,0,20.2,15.7,252.6,1011.5,79,9.8,86.9,7.7,3,10,2022-09-13T07:10:17,2022-09-13T19:43:13,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-14,78,55.7,66.3,78,55.7,66.3,58.7,78.2,0,0,0,,0,0,8.5,6.6,335.5,1019.2,58.3,9.8,191.1,16.4,8,10,2022-09-14T07:11:13,2022-09-14T19:41:34,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-15,80.8,56.3,67.9,81,56.3,68,58.4,75.1,0,0,0,rain,0,0,7.8,5.5,25,1023,32.1,7.9,196.5,17.2,7,10,2022-09-15T07:12:10,2022-09-15T19:39:55,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-16,82.1,57.4,69.5,82.7,57.4,69.6,60.2,74.9,0,0,0,,0,0,6.3,6.9,142.3,1022.2,40.8,9,180.8,15.7,7,10,2022-09-16T07:13:06,2022-09-16T19:38:16,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-17,82.3,60.6,71.1,82.9,60.6,71.3,61.6,74.3,0,0,0,,0,0,13,9.8,193.9,1020.7,49.3,8.7,169,14.5,6,10,2022-09-17T07:14:03,2022-09-17T19:36:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
