DATE,station,name,prcp,snow,snwd,tmax,tmin,target
1970-01-01,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.14,2.2,1.0,31,26,30.0
1970-01-02,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.06,1.5,2.0,30,24,27.0
1970-01-03,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.04,0.7,3.0,27,15,22.0
1970-01-04,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.01,0.3,3.0,22,12,36.0
1970-01-05,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.2,3.0,36,7,27.0
1970-01-06,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.03,0.7,3.0,27,12,12.0
1970-01-07,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.01,0.2,3.0,12,-1,-1.0
1970-01-08,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,3.0,-1,-6,6.0
1970-01-09,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.04,0.6,3.0,6,-3,13.0
1970-01-10,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.03,0.7,4.0,13,4,24.0
1970-01-11,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.18,2.6,3.0,24,6,28.0
1970-01-12,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,5.0,28,15,26.0
1970-01-13,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,5.0,26,3,25.0
1970-01-14,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.11,2.7,5.0,25,14,34.0
1970-01-15,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,6.0,34,13,42.0
1970-01-16,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,5.0,42,13,42.0
1970-01-17,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,3.0,42,34,35.0
1970-01-18,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.03,0.1,2.0,35,11,19.0
1970-01-19,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.02,0.5,1.0,19,9,12.0
1970-01-20,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.05,1.4,2.0,12,-5,11.0
1970-01-21,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,3.0,11,-5,16.0
1970-01-22,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,3.0,16,-5,24.0
1970-01-23,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.06,1.7,3.0,24,12,29.0
1970-01-24,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,3.0,29,-4,45.0
1970-01-25,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.02,0.0,3.0,45,26,41.0
1970-01-26,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.04,0.4,0.0,41,32,35.0
1970-01-27,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.05,0.7,1.0,35,29,60.0
1970-01-28,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,60,29,58.0
1970-01-29,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.66,0.0,0.0,58,30,30.0
1970-01-30,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.02,1.2,0.0,30,22,46.0
1970-01-31,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,46,22,48.0
1970-02-01,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,48,32,42.0
1970-02-02,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.9,1.4,0.0,42,23,23.0
1970-02-03,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.04,0.4,1.0,23,1,22.0
1970-02-04,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.1,1.0,22,-2,33.0
1970-02-05,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,1.0,33,21,33.0
1970-02-06,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,33,21,40.0
1970-02-07,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.19,0.0,0.0,40,16,41.0
1970-02-08,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.2,0.0,0.0,41,33,41.0
1970-02-09,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.13,0.0,0.0,41,32,32.0
1970-02-10,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,32,27,33.0
1970-02-11,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.01,0.1,0.0,33,26,29.0
1970-02-12,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,29,17,25.0
1970-02-13,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.03,0.3,0.0,25,14,24.0
1970-02-14,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.04,0.7,0.0,24,13,28.0
1970-02-15,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.12,0.1,1.0,28,22,30.0
1970-02-16,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,30,10,37.0
1970-02-17,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,37,15,57.0
1970-02-18,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,57,29,47.0
1970-02-19,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.01,0.1,0.0,47,23,26.0
1970-02-20,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,26,16,45.0
1970-02-21,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,45,15,54.0
1970-02-22,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,54,29,45.0
1970-02-23,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,45,22,53.0
1970-02-24,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,53,24,44.0
1970-02-25,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.01,0.0,0.0,44,11,34.0
1970-02-26,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,34,8,43.0
1970-02-27,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,43,26,42.0
1970-02-28,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,42,19,58.0
1970-03-01,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.01,0.0,0.0,58,31,52.0
1970-03-02,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.13,0.0,0.0,52,45,65.0
1970-03-03,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.29,0.0,0.0,65,48,58.0
1970-03-04,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.74,0.0,0.0,58,43,48.0
1970-03-05,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.14,0.0,0.0,48,28,50.0
1970-03-06,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",0.0,0.0,0.0,50,22,53.0
